Lemma,Grundform
Blume,"['Allerheiligenblümlein', 'Blümchen', 'Blümelein', 'Blümlein', 'Butterblümlein', 'Eisblümlein', 'Geblümel', 'Geißblümlein', 'Gänsblümchen', 'Gänsblümel', 'Gänsblümelein', 'Gänseblümchen', 'Gänseblümel', 'Gänseblümlein', 'Herbstblümlein', 'Herzeblümlein', 'Heublümlein', 'Heugeblümel', 'Heugeblümlein', 'Hexenblümchen', 'Hexenblümlein', 'Kuckucksblümlein', 'Margeritenblümlein', 'Mauerblümlein', 'Messblümchen', 'Mohnblümel', 'Märzenblümchen', 'Märzenblümlein', 'Osterblümlein', 'Platscheblümel', 'Platschenblümel', 'Ringelblümlein', 'Seichblümlein', 'Teeblümel', 'Teeblümlein', 'Totenblümlein']"
all,['Allerlei']
Teufel,"['Allerteufelskerl', 'Feuerteufelein', 'Hausteufelein', 'Kopfteuflein', 'Röhrenteufelein', 'Schneidteufelein', 'Speiteufelein', 'Teufelein']"
blöd,"['Allerweltsblödel', 'Blödel', 'Blödelein', 'Blödellein', 'Blödi', 'Inzuchtblödel']"
Bursche,"['Allerweltsbürschlein', 'Burschen', 'Bürschel', 'Bürschelein', 'Bürschlein', 'Dorfburschen', 'Fünfpfennigbürschlein', 'Kirchweihburschen', 'Ortsburschen', 'Planburschen', 'Platzburschen', 'Webersbürschlein', 'Wirtsburschen', 'Zechburschen']"
Welt,"['Allerweltschar(r)i', 'Allerweltshammel', 'Allerweltstoni', 'Allerweltstrottel', 'Weltskerl']"
Dot,"['Allerweltsduttlein', 'Dotlein']"
pappeln,"['Allerweltsgepappel', 'Gepappel', 'Pappelchen', 'Papplerlein']"
Gespons,"['Allerweltsgespusi', 'Gespusi', 'Spusi']"
Heinrich,"['Allerweltsheini', 'Barrasheini', 'Brillenheini', 'Glatzenheini', 'Hasenheinerlein', 'Heinerlein', 'Heini', 'Heinzelein', 'Hirnheinerlein', 'Mutterheinzel', 'Nörgelheini', 'Perückenheini', 'Plattenheini', 'Plattheini', 'Pomadenheini', 'Saftheini', 'Schlappenheini', 'Sommersprossenheini', 'Trödelheini', 'Waldheini']"
